ID,Name,Tags,Services,Availability,Description,Alternates,Keywords,Warnings
ALLSKY_SFC_SW_DIFF,All Sky Surface Shortwave Diffuse Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,"Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Diffuse Solar Radiation,Scattered Solar Radiation","Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Diffuse Solar Radiation,Scattered Solar Radiation,Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DNI,All Sky Surface Shortwave Downward Direct Normal Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under all sky conditions.,"Direct Normal Irradiance (DNI),Beam Radiation,Beam Normal Irradiance,Direct Beam Irradiance,Pyrheliometer Irradiance,Direct Solar Radiation","Direct Normal Irradiance (DNI),Beam Radiation,Beam Normal Irradiance,Direct Beam Irradiance,Pyrheliometer Irradiance,Direct Solar Radiation,Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SRF_ALB,All Sky Surface Albedo,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The all sky rate of reflectivity of the earth's surface; the ratio of the solar energy reflected by the surface of the earth compared to the total solar energy incident reaching the surface of the earth.,"Surface Reflectance,Broadband Albedo,Shortwave Albedo","Surface Reflectance,Broadband Albedo,Shortwave Albedo,Parameters for Tilted PV Panels,Solar Fluxes and Related",
CLOUD_AMT,Cloud Amount,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average percent of cloud amount during the temporal period.,"Cloud Cover,Cloud Fraction,Total Cloud Cover,Sky Cover,Cloudiness","Cloud Cover,Cloud Fraction,Total Cloud Cover,Sky Cover,Cloudiness,Diurnal Cloud Amounts,Solar Fluxes and Related",
TOA_SW_DWN,Top-Of-Atmosphere Shortwave Downward Irradiance,"official,nrt,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The total solar irradiance incident (direct plus diffuse) on a horizontal plane at the top of the atmosphere (extraterrestrial radiation).,"Total Solar Irradiance (TSI),Incoming Solar Insulation,Extraterrestrial Irradiance,Solar Constant (historical),Top-of-Atmosphere Insolation,Extraterrestrial Horizontal Radiation","Total Solar Irradiance (TSI),Incoming Solar Insulation,Extraterrestrial Irradiance,Solar Constant (historical),Top-of-Atmosphere Insolation,Extraterrestrial Horizontal Radiation,Solar Fluxes and Related",
SI_TILTED_AVG,Average Solar Irradiance for Equator Facing Tilted Surfaces (Parameter Set),"official,radiation","api,dav",climatology,This is a API only data parameter listing to provide a set of data parameters.,,"Parameters for Tilted PV Panels,Solar Fluxes and Related",
SI_TILTED_MAX,Maximum Solar Irradiance for Equator Facing Tilted Surfaces (Parameter Set),"official,radiation","api,dav",climatology,This is a API only data parameter listing to provide a set of data parameters.,,Parameters for Tilted PV Panels,
SI_TILTED_MIN,Minimum Solar Irradiance for Equator Facing Tilted Surfaces (Parameter Set),"official,radiation","api,dav",climatology,This is a API only data parameter listing to provide a set of data parameters.,,Parameters for Tilted PV Panels,
ALLSKY_SFC_SW_DWN_HR,All Sky Surface Shortwave Downward Irradiance (Hour-Based Parameter Set),"official,radiation","api,dav","monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,Solar Fluxes and Related,
CLOUD_AMT_HR,Cloud Amount (Hour-Based Parameter Set),"official,radiation","api,dav","monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,"Diurnal Cloud Amounts,Solar Fluxes and Related",
CLOUD_OD_HR,Cloud Optical Visible Depth (Hour-Based Parameter Set),"official,radiation","api,dav","monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,Solar Fluxes and Related,
PRECTOTCORR,Precipitation Corrected,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The average MERRA-2 bias corrected total precipitation at the surface of the earth.,"Bias-Corrected Precipitation,Adjusted Total Precipitation,Gauge-Corrected Precipitation,Corrected Rainfall","Bias-Corrected Precipitation,Adjusted Total Precipitation,Gauge-Corrected Precipitation,Corrected Rainfall",
SG_SAA_HR,Average Solar Azimuth Angle (Hour-Based Parameter Set),"official,solar","api,dav","monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,Solar Fluxes and Related,
WS10M,Wind Speed at 10 Meters,"official,nrt,meteorology,warning","api,dav,aws","hourly,daily,monthly,annual,climatology",The average of wind speed at 10 meters above the surface of the earth.,"Standard Anemometer Wind Speed,10-Meter Wind Speed,Surface Wind Speed,WMO Standard Wind Speed","Standard Anemometer Wind Speed,10-Meter Wind Speed,Surface Wind Speed,WMO Standard Wind Speed,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
GWETPROF,Profile Soil Wetness,"official,nrt,meteorology","api,dav,aws","hourly,daily,monthly,annual,climatology",The amount of water and water vapor present in the soil. Profile indicates the layer from the surface down to the bedrock. Values range from 0 for completely dry conditions to 1 for completely saturated soil.,"Full Column Soil Wetness,Soil Column Saturation Fraction,Soil Profile Wetness Index,Total Column Soil Moisture Fraction","Full Column Soil Wetness,Soil Column Saturation Fraction,Soil Profile Wetness Index,Total Column Soil Moisture Fraction,Soil Properties",
TS,Earth Skin Temperature,"official,nrt,meteorology","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average temperature at the earth's surface.,"Land Surface Temperature,Skin Temperature,Radiometric Surface Temperature,Surface Radiative Temperature","Land Surface Temperature,Skin Temperature,Radiometric Surface Temperature,Surface Radiative Temperature,Temperature/Thermal IR Flux,Temperatures",
WD10M,Wind Direction at 10 Meters,"official,nrt,meteorology,warning","api,dav,aws","hourly,daily,monthly,annual,climatology",The average of the wind direction at 10 meters above the surface of the earth.,"Surface Wind Direction,Standard Anemometer Wind Direction,10-Meter Wind Direction,Wind Bearing at 10m","Surface Wind Direction,Standard Anemometer Wind Direction,10-Meter Wind Direction,Wind Bearing at 10m,Wind/Pressure","Wind direction is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
ALLSKY_SFC_PAR_TOT,All Sky Surface Total PAR,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The total (direct plus diffuse) Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under all sky conditions.,"Photosynthetically Active Radiation (PAR),Global PAR,Total Visible Radiation (400-700 nm),Photosynthetic Irradiance","Photosynthetically Active Radiation (PAR),Global PAR,Total Visible Radiation (400-700 nm),Photosynthetic Irradiance,Solar,Solar Fluxes and Related",
QV2M,Specific Humidity at 2 Meters,"official,nrt,meteorology","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The ratio of the mass of water vapor to the total mass of air at 2 meters.,"Specific Humidity at 2m,Near-Surface Specific Humidity,Mixing Ratio at 2 Meters,Water Vapor Mass Fraction at 2m","Specific Humidity at 2m,Near-Surface Specific Humidity,Mixing Ratio at 2 Meters,Water Vapor Mass Fraction at 2m,Humidity/Precipitation",
T2M_RANGE,Temperature at 2 Meters Range,"official,nrt,meteorology","api,dav,aws","daily,monthly,annual,climatology",The difference between the minimum and maximum hourly air (dry bulb) temperature at 2 meters above the surface of the earth in the period of interest.,"Dry Bulb Temperature Range at 2 Meters,Diurnal Temperature Range,Temperature Amplitude","Dry Bulb Temperature Range at 2 Meters,Diurnal Temperature Range,Temperature Amplitude,Temperature/Thermal IR Flux,Temperatures",
ALLSKY_KT,All Sky Insolation Clearness Index,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",A fraction representing clearness of the atmosphere; the all sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,Clearness Index (Kt),"Clearness Index (Kt),Parameters for Tilted PV Panels,Solar Fluxes and Related",
CLRSKY_SFC_SW_DWN,Clear Sky Surface Shortwave Downward Irradiance,"official,nrt,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology","The total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under clear sky conditions. An alternative term for the total solar irradiance is the ""Global Horizontal Irradiance"" or GHI.","Global Horizontal Irradiance (GHI),Insolation,Incoming Solar Radiation,Clear Sky Global Solar Radiation,Potential Solar Radiation,Clear Sky Total Horizontal Solar Radiation","Global Horizontal Irradiance (GHI),Insolation,Incoming Solar Radiation,Clear Sky Global Solar Radiation,Potential Solar Radiation,Clear Sky Total Horizontal Solar Radiation,Solar,Parameters for Tilted PV Panels,Parameters for Solar Cooking,Solar Fluxes and Related",
GWETROOT,Root Zone Soil Wetness,"official,nrt,meteorology","api,dav,aws","hourly,daily,monthly,annual,climatology","The amount of water and water vapor available to plants in the root zone, generally considered to be the upper 1 m of soil, expressed as the proportion of water present in a given amount of soil. Values range from 0 for completely dry conditions to 1 for completely saturated soil.","Root Zone Soil Saturation Fraction,Root Zone Wetness Index,Plant-Available Water Fraction,Root Layer Soil Wetness","Root Zone Soil Saturation Fraction,Root Zone Wetness Index,Plant-Available Water Fraction,Root Layer Soil Wetness,Soil Properties",
GWETTOP,Surface Soil Wetness,"official,nrt,meteorology","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The amount of water and water vapor present in the soil. Top indicates the upper 5 cm of soil. Values range from 0 for completely dry conditions to 1 for completely saturated soil.,"Top Layer Soil Wetness,Surface Soil Saturation Fraction,Near-Surface Soil Wetness Index,Topsoil Moisture Fraction","Top Layer Soil Wetness,Surface Soil Saturation Fraction,Near-Surface Soil Wetness Index,Topsoil Moisture Fraction,Soil Properties",
WS10M_MAX,Wind Speed at 10 Meters Maximum,"official,nrt,meteorology,warning","api,dav,aws","daily,monthly,annual,climatology",The maximum hourly wind speed at 10 meters above the surface of the earth in the period of interest.,"Maximum Wind Speed at 10 Meters,Peak Wind at 10m,Daily Maximum Surface Wind Speed","Maximum Wind Speed at 10 Meters,Peak Wind at 10m,Daily Maximum Surface Wind Speed,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS10M_MIN,Wind Speed at 10 Meters Minimum,"official,nrt,meteorology,warning","api,dav,aws","daily,monthly,annual,climatology",The minimum hourly wind speed at 10 meters above the surface of the earth in the period of interest.,"Minimum Wind Speed at 10 Meters,Daily Minimum Surface Wind Speed,Calm Wind at 10m","Minimum Wind Speed at 10 Meters,Daily Minimum Surface Wind Speed,Calm Wind at 10m,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS10M_RANGE,Wind Speed at 10 Meters Range,"official,nrt,meteorology,warning","api,dav,aws","daily,monthly,annual,climatology",The minimum and maximum hourly wind speed range at 10 meters above the surface of the earth.,"Wind Speed Range at 10 Meters,Diurnal Wind Speed Range at 10m","Wind Speed Range at 10 Meters,Diurnal Wind Speed Range at 10m,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS50M_MAX,Wind Speed at 50 Meters Maximum,"official,nrt,meteorology,warning","api,dav,aws","daily,monthly,annual,climatology",The maximum hourly wind speed at 50 meters above the surface of the earth in the period of interest.,"Maximum Wind Speed at 50 Meters,Peak Hub-Height Wind Speed,Daily Maximum Wind at 50m","Maximum Wind Speed at 50 Meters,Peak Hub-Height Wind Speed,Daily Maximum Wind at 50m,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS50M_MIN,Wind Speed at 50 Meters Minimum,"official,nrt,meteorology,warning","api,dav,aws","daily,monthly,annual,climatology",The minimum hourly wind speed at 50 meters above the surface of the earth in the period of interest.,"Minimum Wind Speed at 50 Meters,Daily Minimum Hub-Height Wind,Calm Wind at 50m","Minimum Wind Speed at 50 Meters,Daily Minimum Hub-Height Wind,Calm Wind at 50m,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS50M_RANGE,Wind Speed at 50 Meters Range,"official,nrt,meteorology,warning","api,dav,aws","daily,monthly,annual,climatology",The minimum and maximum hourly wind speed range at 50 meters above the surface of the earth.,"Wind Speed Range at 50 Meters,Hub-Height Wind Speed Range","Wind Speed Range at 50 Meters,Hub-Height Wind Speed Range,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
ALLSKY_SFC_SW_DIFF_MAX,All Sky Surface Shortwave Diffuse Irradiance Maximum,"official,radiation","api,dav,aws","monthly,annual,climatology",The maximum diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,"Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DIFF_MIN,All Sky Surface Shortwave Diffuse Irradiance Minimum,"official,radiation","api,dav,aws","monthly,annual,climatology",The minimum diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,"Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DNI_MAX,All Sky Surface Shortwave Downward Direct Normal Irradiance Maximum,"official,radiation","api,dav,aws","monthly,annual,climatology",The maximum direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under all sky conditions.,,"Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DNI_MIN,All Sky Surface Shortwave Downward Direct Normal Irradiance Minimum,"official,radiation","api,dav,aws","monthly,annual,climatology",The minimum direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under all sky conditions.,,"Solar,Parameters for Tilted PV Panels",
ALLSKY_SFC_UVA,All Sky Surface UVA Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The ultraviolet A (UVA 315nm-400nm) irradiance under all sky conditions.,"Ultraviolet-A Irradiance (315-400 nm),UV-A Radiation,Near-Ultraviolet Irradiance,Long-Wave UV Radiation","Ultraviolet-A Irradiance (315-400 nm),UV-A Radiation,Near-Ultraviolet Irradiance,Long-Wave UV Radiation,Solar,Solar Fluxes and Related",
ALLSKY_SFC_UVB,All Sky Surface UVB Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The ultraviolet B (UVB 280nm-315nm) irradiance under all sky conditions.,"Ultraviolet-B Irradiance (280-315 nm),UV-B Radiation,Middle-Ultraviolet Irradiance","Ultraviolet-B Irradiance (280-315 nm),UV-B Radiation,Middle-Ultraviolet Irradiance,Solar,Solar Fluxes and Related",
ALLSKY_SFC_UV_INDEX,All Sky Surface UV Index,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The ultraviolet radiation exposure index.,"UV Index (UVI),Global Solar UV Index","UV Index (UVI),Global Solar UV Index,Solar,Solar Fluxes and Related",
CDD0,Cooling Degree Days Above 0 C,"official,nrt,radiation","api,dav,aws","daily,monthly,annual,climatology",The daily accumulation of degrees above a 0-degree-Celsius threshold when the daily mean temperature is above the threshold.,"CDD Base 0 C,Cooling Degree Days Base 0,Cooling Demand Index 0 C","CDD Base 0 C,Cooling Degree Days Base 0,Cooling Demand Index 0 C,DOE/ASHRAE Climate Building",
CDD18_3,Cooling Degree Days Above 18.3 C,"official,nrt,radiation","api,dav,gis,aws","daily,monthly,annual,climatology",The daily accumulation of degrees above an 18.3-degree-Celsius threshold when the daily mean temperature is above the threshold.,"CDD Base 18.3 C,Cooling Degree Days Base 65 F,ASHRAE Cooling Degree Days,Standard Cooling Degree Days","CDD Base 18.3 C,Cooling Degree Days Base 65 F,ASHRAE Cooling Degree Days,Standard Cooling Degree Days,DOE/ASHRAE Climate Building",
CLRSKY_KT,Clear Sky Insolation Clearness Index,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",A fraction representing clearness of the atmosphere; the clear sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,"Clear Sky Clearness Index,Clear Sky Atmospheric Transmittance","Clear Sky Clearness Index,Clear Sky Atmospheric Transmittance,Parameters for Tilted PV Panels,Solar Fluxes and Related",
CLRSKY_SFC_PAR_TOT,Clear Sky Surface Total PAR,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The total Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Clear Sky Total PAR,Clear Sky Photosynthetically Active Radiation,Clear Sky Global PAR","Clear Sky Total PAR,Clear Sky Photosynthetically Active Radiation,Clear Sky Global PAR,Solar,Solar Fluxes and Related",
EQUIV_NO_SUN_CONSEC_MONTH,Equivalent No-Sun Days Over A Consecutive Month Period,"official,radiation","api,dav,aws",climatology,Equivalent no-sun days is the ratio of maximum solar insolation deficit over consecutive month period and the climatological averaged monthly value.,"Equivalent No-Sun Days,Zero-Insolation Equivalent Days","Equivalent No-Sun Days,Zero-Insolation Equivalent Days,Energy-Storage System Sizing",
FROST_DAYS,Frost Days,"official,nrt,meteorology","api,dav,gis,aws","daily,monthly,annual,climatology",A frost day occurs when the 2m temperature cools to the dew point temperature and both are less than 0 C or 32 F.,"Number of Frost Days,Days Below Freezing,Frost Frequency,Freeze Days","Number of Frost Days,Days Below Freezing,Frost Frequency,Freeze Days,Temperature/Thermal IR Flux",
GWM_HEIGHT,GWM Height,reviewing,"api,dav,aws",daily,Height above mean sea level.,"Significant Wave Height,SWH,Hs,Combined Wind Wave and Swell Height","Significant Wave Height,SWH,Hs,Combined Wind Wave and Swell Height,Humidity/Precipitation",
HDD0,Heating Degree Days Below 0 C,"official,nrt,meteorology","api,dav,aws","daily,monthly,annual,climatology",The daily accumulation of degrees below a 0-degree-Celsius threshold when the daily mean temperature is below the threshold.,"HDD Base 0 C,Heating Degree Days Base 0","HDD Base 0 C,Heating Degree Days Base 0,DOE/ASHRAE Climate Building",
HDD18_3,Heating Degree Days Below 18.3 C,"official,nrt,meteorology","api,dav,gis,aws","daily,monthly,annual,climatology",The daily accumulation of degrees below an 18.3-degree-Celsius threshold when the daily mean temperature is below the threshold.,"HDD Base 18.3 C,Heating Degree Days Base 65 F,HDD65,ASHRAE Heating Degree Days,Standard Heating Degree Days","HDD Base 18.3 C,Heating Degree Days Base 65 F,HDD65,ASHRAE Heating Degree Days,Standard Heating Degree Days,DOE/ASHRAE Climate Building",
IMERG_PRECTOT,Total Precipitation,"official,meteorology","api,dav,aws","daily,monthly,annual,climatology",The average IMERG total precipitation at the surface of the earth.,"GPM IMERG Precipitation,Satellite-Derived Precipitation,Multi-Satellite Precipitation,IMERG Rainfall Estimate","GPM IMERG Precipitation,Satellite-Derived Precipitation,Multi-Satellite Precipitation,IMERG Rainfall Estimate,Humidity/Precipitation",
INSOL_CONSEC_MONTH_MIN,Minimum Insolation Over A Consecutive Month Period,"official,radiation","api,dav,aws",climatology,Minimum Available Insolation Percent is the ratio of minimum solar insolation and the climatological averaged monthly value over a consecutive month period in the given month.,"Minimum Monthly Insolation,Worst-Month Solar Resource","Minimum Monthly Insolation,Worst-Month Solar Resource,Energy-Storage System Sizing",
MAX_AVAIL_INSOL_CONSEC_MONTH,Maximum Available Insolation Over A Month Period,"official,radiation","api,dav,aws",climatology,Maximum Available Insolation is the climatological maximum rolling sum over a month period.,"Maximum Available Monthly Insolation,Best-Month Solar Resource","Maximum Available Monthly Insolation,Best-Month Solar Resource,Energy-Storage System Sizing",
MAX_EQUIV_NO_SUN_DAYS,Maximum Equivalent No-Sun Days,"official,radiation","api,dav,aws",climatology,Maximum equivalent no sun days is the maximum or the worse no sun days among all consecutive n-day equivalent no-sun days in a particular month.,"Maximum Consecutive No-Sun Days,Worst-Case Solar Outage Duration","Maximum Consecutive No-Sun Days,Worst-Case Solar Outage Duration,Energy-Storage System Sizing",
MAX_SOLAR_DEFICIT,Maximum Solar Deficit,"official,radiation","api,dav,aws",climatology,Maximum Solar Deficit is the maximum or the worse solar deficit among all consecutive n-day solar insolation deficit in a particular month.,"Maximum Solar Energy Deficit,Peak Solar Shortfall,Maximum Insolation Deficit","Maximum Solar Energy Deficit,Peak Solar Shortfall,Maximum Insolation Deficit,Energy-Storage System Sizing",
MIDDAY_INSOL,Midday Insolation Incident,"official,radiation","api,dav,gis,aws","daily,monthly,annual,climatology",The total amount of solar irradiance (direct plus diffuse) incident on a horizontal plane at the earth's surface during the solar noon hour midday period.,"Solar Noon Irradiance,Peak Solar Irradiance,Noontime Insolation,Maximum Daily Irradiance","Solar Noon Irradiance,Peak Solar Irradiance,Noontime Insolation,Maximum Daily Irradiance,Parameters for Solar Cooking,Solar Fluxes and Related",
MIN_AVAIL_INSOL_CONSEC_MONTH,Minimum Available Insolation Over A Month Period,"official,radiation","api,dav,aws",climatology,Minimum Available Insolation is the climatological minimum rolling sum over a month period.,"Minimum Available Monthly Insolation,Lowest Monthly Solar Resource","Minimum Available Monthly Insolation,Lowest Monthly Solar Resource,Energy-Storage System Sizing",
PRECTOT,Total Precipitation,"reviewing,meteorology","dav,aws",,The average HYDROSCS total precipitation at the surface of the earth.,Precipitation Rate,"Precipitation Rate,Humidity/Precipitation",
SI_TRACKER_AVG,Average Solar Irradiance for Trackers (Parameter Set),"official,radiation",api,climatology,This is a API only data parameter listing to provide a set of data parameters.,,,
SI_TRACKER_MAX,Maximum Solar Irradiance for Trackers (Parameter Set),"official,radiation",api,climatology,This is a API only data parameter listing to provide a set of data parameters.,,,
SI_TRACKER_MIN,Minimum Solar Irradiance for Trackers (Parameter Set),"official,radiation",api,climatology,This is a API only data parameter listing to provide a set of data parameters.,,,
SNODP,Snow Depth,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The snow depth on land at surface of the earth.,"Snow Depth on Ground,Snow Pack Depth,Snow Cover Depth,Snowpack Thickness","Snow Depth on Ground,Snow Pack Depth,Snow Cover Depth,Snowpack Thickness",
SOLAR_DEFICITS_CONSEC_MONTH,Solar Insolation Deficit Over A Consecutive Month Period,"official,radiation","api,dav,aws",climatology,Solar insolation deficit in each month is the difference between the climatological averaged monthly value and the minimum available insolation sum over a month period in the given month.,"Monthly Solar Energy Deficits,Consecutive Month Solar Shortfalls","Monthly Solar Energy Deficits,Consecutive Month Solar Shortfalls,Energy-Storage System Sizing",
SURPLUS_INSOL_CONSEC_MONTH,Surplus Insolation Over A Consecutive Month Period,"official,radiation","api,dav,aws",climatology,Surplus Insolation in each month is the difference between the maximum available insolation sum and the climatological averaged monthly value over a month period in the given month.,"Monthly Solar Energy Surplus,Consecutive Month Insolation Excess","Monthly Solar Energy Surplus,Consecutive Month Insolation Excess,Energy-Storage System Sizing",
SZA,Solar Zenith Angle,"official,solar","api,dav,aws","hourly,daily",The angle between the geodetic zenith vector and a vector from the earth point to the sun integrated over the period.,"Zenith Angle,Solar Zenith Distance,Sun Angle from Zenith","Zenith Angle,Solar Zenith Distance,Sun Angle from Zenith,Solar Fluxes and Related",
TOA_SW_DNI,Top-Of-Atmosphere Shortwave Direct Normal Radiation,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The total solar irradiance incident (direct plus diffuse) on a horizontal plane where oriented to the sun's position at the top of the atmosphere (extraterrestrial radiation).,"Extraterrestrial Direct Normal Irradiance,Extraterrestrial Beam Irradiance,TOA Beam Radiation","Extraterrestrial Direct Normal Irradiance,Extraterrestrial Beam Irradiance,TOA Beam Radiation",
TS_MAX,Earth Skin Temperature Maximum,"official,nrt,meteorology","api,dav,aws","daily,monthly,annual,climatology",The maximum hourly earth skin temperature in the period of interest.,"Maximum Skin Temperature,Peak Surface Temperature,Daily Maximum Land Surface Temperature","Maximum Skin Temperature,Peak Surface Temperature,Daily Maximum Land Surface Temperature,Temperature/Thermal IR Flux",
TS_MIN,Earth Skin Temperature Minimum,"official,nrt,meteorology","api,dav,aws","daily,monthly,annual,climatology",The minimum hourly earth skin temperature in the period of interest.,"Minimum Skin Temperature,Daily Minimum Land Surface Temperature","Minimum Skin Temperature,Daily Minimum Land Surface Temperature,Temperature/Thermal IR Flux",
WS2M_MAX,Wind Speed at 2 Meters Maximum,"official,nrt,meteorology,warning","api,dav,aws","daily,monthly,annual,climatology",The maximum hourly wind speed at 2 meters above the surface of the earth in the period of interest.,"Maximum Wind Speed at 2 Meters,Peak Wind Speed at 2m,Daily Maximum Wind at 2m","Maximum Wind Speed at 2 Meters,Peak Wind Speed at 2m,Daily Maximum Wind at 2m,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS2M_MIN,Wind Speed at 2 Meters Minimum,"official,nrt,meteorology,warning","api,dav,aws","daily,monthly,annual,climatology",The minimum hourly wind speed at 2 meters above the surface of the earth in the period of interest.,"Minimum Wind Speed at 2 Meters,Daily Minimum Wind at 2m","Minimum Wind Speed at 2 Meters,Daily Minimum Wind at 2m,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS2M_RANGE,Wind Speed at 2 Meters Range,"official,nrt,meteorology,warning","api,dav,aws","daily,monthly,annual,climatology",The minimum and maximum hourly wind speed range at 2 meters above the surface of the earth.,"Wind Speed Range at 2 Meters,Diurnal Wind Speed Range at 2m","Wind Speed Range at 2 Meters,Diurnal Wind Speed Range at 2m,Wind/Pressure","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
AIRMASS_HR,Air Mass (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_LW_DWN_HR,All Sky Surface Longwave Downward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_LW_UP_HR,All Sky Surface Longwave Upward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_PAR_DIFF_HR,All Sky Surface Diffuse PAR (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_PAR_DIRH_HR,All Sky Surface Direct Horizontal PAR (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_PAR_TOT_HR,All Sky Surface Total PAR (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DIFF_HR,All Sky Surface Shortwave Diffuse Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DIFF_HR_MAX,Climatological Maximum All Sky Surface Shortwave Diffuse Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DIFF_HR_MIN,Climatological Minimum All Sky Surface Shortwave Diffuse Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DIRH_HR,All Sky Surface Shortwave Direct Horizontal Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
